Rank,Tiktoker name,Tiktok name,followers,avgviews,avglikes,avgcomments,avgshares
118,jesusnalgas,JESUSNALGAS,3900000.0,3400000.0,325900.0,4300.0,6300.0
119,makeup_rhk,makeup_rhk,860300.0,4300000.0,812800.0,556.0,2800.0
120,duncanyounot,Duncan Joseph,4400000.0,2900000.0,560100.0,2700.0,4200.0
121,sijad_qasim,سجاد قاسم,2300000.0,5900000.0,171600.0,4000.0,6900.0
122,lance210,Lance Stewart,22700000.0,4200000.0,420000.0,1800.0,4300.0
123,ivanaalawi,Ivana Alawi,8600000.0,5900000.0,606500.0,2000.0,956.0
124,muluerror,"Nama gue Rian, tp bkn babayo",672800.0,6100000.0,395600.0,2100.0,2300.0
125,millennialmonroe,Mandy,112100.0,4800000.0,270400.0,1600.0,6400.0
126,whatslucasup2,Lucas Peterson BMX art,467700.0,3600000.0,301700.0,3300.0,5900.0
127,willsmith,Will Smith,73000000.0,4700000.0,514600.0,2200.0,2000.0
128,marisol.viola,marisol viola,1500000.0,2400000.0,411200.0,3000.0,7300.0
129,nicolebloomgarden,Nicole Bloomgarden,675600.0,2300000.0,451300.0,1900.0,7700.0
130,thelondoncharles,London Charles,6900000.0,3300000.0,598900.0,3500.0,1500.0
131,jimmydarts,Jimmy Darts,9800000.0,4300000.0,607700.0,2900.0,894.0
132,antourny,Antony Santos,2600000.0,4800000.0,527400.0,3000.0,788.0
133,thallyssonsb,Thallysson Borges,11600000.0,2700000.0,372000.0,3700.0,5700.0
134,itsblasphemus,🗣📱itsblasphemus,994500.0,3100000.0,383000.0,2400.0,5600.0
135,yerimuaa,Yeri MUA,5300000.0,7300000.0,645700.0,1400.0,485.0
136,raredoodle,rare doodle,2100000.0,3100000.0,425000.0,3100.0,3900.0
137,hf37777,༊෴نجٍمـ الُثـرٍيَاء〄࿐,801500.0,1300000.0,85200.0,4300.0,80400.0
138,brentrivera,Brent Rivera,45800000.0,4600000.0,557400.0,2300.0,1200.0
139,tifannylm,⚡️TEF,9300000.0,5800000.0,709000.0,972.0,1200.0
140,alexisomman,Alexis Omman,11500000.0,2700000.0,403700.0,6500.0,1600.0
141,theofficecurrently,The Office Currently,308000.0,2200000.0,172100.0,1300.0,22400.0
142,keniaos,KeniaOs,16600000.0,3200000.0,515000.0,3300.0,2000.0
143,ali.klose11,علي كلوزه,2400000.0,3400000.0,357500.0,5100.0,2000.0
144,alexwaarren,Alex warren,15600000.0,5200000.0,854600.0,1000.0,902.0
145,bilalahy,Bilal,4200000.0,3200000.0,497700.0,2200.0,3100.0
146,ferchugimenez,Fernanda,8200000.0,4700000.0,825800.0,1000.0,1200.0
147,the.sign.guy,Austin Mollno,7200000.0,4600000.0,660700.0,2100.0,571.0
148,therealhammytv,TheRealHammyTV,16100000.0,6400000.0,227300.0,1300.0,4400.0
149,bu3qeel,abu aqeel 🙆🏻‍♀️,1200000.0,4100000.0,217200.0,3900.0,5300.0
150,attahalilintar,Atta Halilintar,13300000.0,5200000.0,448000.0,1900.0,1500.0
151,thekapelariz,The Kapelari Family,2500000.0,2800000.0,253000.0,4600.0,6700.0
152,zusjeofficial,ZUSJE,8300000.0,6100000.0,334600.0,2700.0,1200.0
153,jaxwritessongs,Jax,12900000.0,3300000.0,433400.0,4600.0,876.0
154,luismariz,Luis Mariz,12700000.0,7000000.0,555600.0,648.0,1400.0
155,pablitocastilloo,pablitocastilloo,6400000.0,2700000.0,269100.0,1700.0,9100.0
156,jvke,JVKE,9900000.0,2700000.0,517800.0,2800.0,2700.0
157,jombospice,JOMBOSPICE,9800000.0,5600000.0,648900.0,1600.0,554.0
158,julieevlorentzen,julie,4200000.0,4800000.0,634800.0,2000.0,547.0
